Name ,Type of Treatment,Bed Availability,Contact Number,Website,Address,Eligible Min Ages,Eligible Max Age,Eligible Genders,Co-Occurring Disorders? ,Methadone? ,Pregnant Women? ,Disabled?,Take Uninsured?,Insurances Accepted
SBH Haverhill,detox,0,(978) 641-3001,https://yourfirststep.org/treatment-center/sbh-haverhill-llc-haverhill-ma/,"61 Brown St, Haverhill, MA 01830",18,9999,All,Y,Y,Y,Y,?,All insurance
Spectrum Health Systems -- Weymouth,detox,0,877-697-3422,https://www.spectrumhealthsystems.org/locations/861-main-street/,"861 Main St, Weymouth, MA 02190",18,9999,male,Y,Y,N,Y,Y,"MBHP (PCC Plan), MassHealth FFS, HSN - Health Safety Net, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO)
"
Spectrum Primary Care (ATS),detox,3,877-697-3422,https://www.spectrumhealthsystems.org/locations/154-155-oak-street/,"154 Oak St, Westborough, MA 01581",18,9999,All,N,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Other"
Tewksbury Treatment Center,detox,0,978-259-7000,https://bilhbehavioral.org/locations/tewksbury-treatment-center,"365 East St, Tewksbury, MA 01876",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, HSN - Health Safety Net, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance, WellSense BILH Performance Network ACO, WellSense Care Alliance, WellSense Boston Children's ACO, Fallon Health-Atrius, Mass General Brigham Health Plan with Mass General, Tufts Health Together with UMASS Memorial Health
"
Washburn House,detox,0,844-657-7375,https://www.washburnhouse.com/,"1183 Main Street, Worcester, MA 01603",18,9999,All,Y,Y,Y,Y,N,"Medicaid, Medicare, most private insurance"
Massachusetts TC Clinical Group CSS,clinical stabilization services,10,774-517-5076,https://tcclinicalgroup.org/,"1311 Main St Brockton, MA 02301",18,9999,male,Y,Y,N,Y,N,"MBHP (PCC Plan), MassHealth FFS, United Behavioral Health, Fallon Community Health Plan/Commercial, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Tufts Health Together (MCO), Other"
Recovery Centers of America at Danvers,clinical stabilization services,6,(978) 767-2847,https://recoverycentersofamerica.com/locations/danvers/,"75 Lindall St, Danvers, MA 01923",18,9999,All,Y,Y,Y,Y,N,"Blue Cross - MA, Tufts, TriCare, Cigna, Aetna, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, Tufts Health Together with UMASS Memorial Health, Mass Laborers, ComPsych, Humana"
Gavin Quincy CSS,clinical stabilization services,1,617-845-5785,https://www.gavinfoundation.org/programs/quincy-detox,"43 Old Colony Ave, Quincy, MA 02170",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Blue Cross - MA, Harvard Pilgrim, United Behavioral Health, Fallon Community Health Plan/Commercial, Unicare, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA
"
The Mirasol Center for Healing (Bay Cove),clinical stabilization services,2,617-318-5621,https://www.baycovehumanservices.org/mirasol-center,"170 Morton St., 12th Flr S. Jamaica Plain, Boston, MA 02130",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, Tufts, HSN - Health Safety Net, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), Tufts Health Together (MCO), Mass General Brigham Health Plan with Mass General
"
The Hope Center,clinical stabilization services,4,413-301-9355,https://www.bhninc.org/,"35 Heywood St Springfield, MA 01104",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Harvard Pilgrim, Tufts, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, OneCare, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance"
Casa Esperanza/       Conexiones CSS,clinical stabilization services,2,(617) 990-9322 x1111,https://www.casaesperanza.org/what-we-do/conexiones-clinical-stabilization-services/,"365 East St Saunders Building Unit C 2, Tweksbury, MA 01876",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, Tufts, OneCare, WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, MassHealth Standard, Beacon,Optum, Fallon, BMC, MBHP, Tufts,CCA,Masshealth Limited"
Women's Renewal CSS (Dimock),clinical stabilization services,0,617-442-8800 ext. 3028,www.dimock.org/,"56 Dimock Street Goddard Building, 3rd Floor 40 Dimock Street Zarewska Building, Boston, MA 02119",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Tufts, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, WellSense - MA Connector Care & Qualified Health Plan"
Charles River Recovery,clinical stabilization services,0,855-888-2409,https://www.charlesriverrecovery.com/about-us/,"75 Norumbega Rd, Weston, MA 02493",18,9999,All,Y,Y,Y,Y,N,All insurance
Bedrock Rehab,clinical stabilization services,0,844-933-3061,https://bedrockrecoverycenter.com/,"1 Meadowbrook Way, Canton, MA 02021",18,9999,All,Y,Y,Y,Y,N,All insurance
CHD Ventures,clinical stabilization services,0,844-243-4357,https://chd.org/programs-services/mental-health-therapists-in-hampden-hampshire-and-franklin/community-support-services/,"188 Florence St, Newton, MA 02467",18,9999,All,Y,Y,Y,Y,N,All insurance
Lahey Danvers Treatment Center CSS,clinical stabilization services,0,978-777-2121,https://bilhbehavioral.org/locations/clinical-stabilization-services-css,"111 Middleton Rd, Danvers, MA 01923",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare/Medicaid, MassHealth FFS, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Other, WellSense - MA Connector Care & Qualified Health Plan
"
Landmark Recovery of Boston,clinical stabilization services,0,(978) 619-8073,https://landmarkrecovery.com/locations/boston/,"785 Main St, Concord, MA 01742",18,9999,male,Y,Y,N,Y,N,All insurance
"MCAT, LLC DBA Evoke Wellness Cohasset",clinical stabilization services,0,954-993-2040,https://npino.com/drug-rehab/1245856335-mcat-llc/#google_vignette,"1 Chief Justice Cushing Hwy, Cohasset, MA 02025",18,9999,All,Y,Y,Y,Y,N,All insurance
Mayflower Recovery Center,clinical stabilization services,0,978-737-7937,https://mayflowerrecovery.com/,"362 Middlesex Ave, Wilmington, MA 01887",18,9999,male,Y,Y,N,Y,N,All insurance
Psyclarity Health Massachusetts,clinical stabilization services,0,855-924-5330,https://psyclarityhealthma.com/,"163 Hamilton St, Saugus, MA 01906",18,9999,male,Y,Y,N,Y,N,All insurance
SBH Haverhill,clinical stabilization services,0,(978) 641-3001,https://yourfirststep.org/treatment-center/sbh-haverhill-llc-haverhill-ma/,"61 Brown St, Haverhill, MA 01830",18,9999,All,Y,Y,Y,Y,N,All insurance
Spectrum Health Systems -- Westborough CSS,clinical stabilization services,0,877-697-3422,https://www.spectrumhealthsystems.org/locations/861-main-street/,"155A Oak Street, Westborough, MA 01581",18,9999,male,Y,Y,N,Y,Y,"MBHP (PCC Plan), MassHealth FFS, HSN - Health Safety Net, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO)"
Spectrum Health Systems -- Weymouth CSS,clinical stabilization services,0,877-697-3422,https://www.spectrumhealthsystems.org/locations/861-main-street/,"861 Main St, Weymouth, MA 02190",18,9999,male,Y,Y,N,Y,Y,"MBHP (PCC Plan), MassHealth FFS, HSN - Health Safety Net, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO)"
High Point Meadowbrook Brockton CSS,clinical stabilization services,0,774-213-8400,https://hptc.org/,"10 Meadowbrook Rd Brockton, MA 02301",18,9999,male,Y,Y,N,Y,Y,"MBHP (PCC Plan), Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
BMC Brockton Behavioral Health CSS,clinical stabilization services,0,508-408-9220,https://www.bmc.org/medical-professionals/refer-patient,"34 North Pearl Street Brockton, MA 02301",18,9999,All,Y,Y,Y,Y,Y,"Harvard Pilgrim, United Behavioral Health, Fallon Community Health Plan/Commercial, OneCare, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance, Medicaid ACO"
Independence Hall CSS,clinical stabilization services,1,508-845-6176 x1,https://www.recoverindependence.org/,"59 South St, Shrewsbury, MA 01545",18,9999,All,Y,Y,Y,Y,Y,"Free Services, Health Safety Net, WellSense - MassHealth Essential (MCO)"
PASSages (Community Health Link CSS),clinical stabilization services,0,508-860-1298,https://www.communityhealthlink.org/,"12 Queen St, Worcester, MA 01610",18,9999,All,Y,Y,Y,Y,Y,"United Behavioral Health Care, Commonwealth Care, Free Services / Health Safety Net, MassHealth, Self Pay, Sliding Scale, Cenpatico, Veteran's Administration, Medicare, BMC Health Net / WellSense (MassHealth), Health New England (MassHealth), Always Health Partners (MassHealth), Celticare, Beacon Health, MBHP Partnership, FallonHealth (MassHealth), Tufts Health Plan (MassHealth)"
Stanley Street Treatment And Resources CSS (SSTAR),clinical stabilization services,0,508-324-7763,https://www.sstar.org/,"386 Stanley St, Fall River, MA 02720",18,9999,All,Y,Y,Y,Y,Y,"FallonHealth, CIGNA, Health New England (MassHealth), Harvard Pilgrim, BMC Health Net / WellSense (MassHealth), Modern Assistance, Always Health Partners (MassHealth), Celticare, FallonHealth (MassHealth), Aetna, HMO, MassHealth, Cenpatico, Commonwealth Care, Tufts Health Plan (MassHealth), Neighborhood Health Plan, United Behavioral Health Care, BCBS, Beacon Health, MBHP Partnership, Medicaid, HMO Blue, Blue Cross, Magellan, Free Services / Health Safety Net, US Health Care, Private Insurance, Blue Choice"
Gosnold CSS,clinical stabilization services,0,800-554-1554,https://gosnold.org/,"200 Ter Heun Dr, Falmouth, MA 02540",18,9999,All,Y,N,Y,Y,Y,"Private Insurance, Free Services / Health Safety Net, Sliding Scale, HMO, Medicaid, FallonHealth, Commonwealth Care, Blue Choice, Harvard Vanguard, Harvard Vanguard Medical Assoc., BCBS, Harvard Pilgrim, Beacon Health, Modern Assistance, Value Behavioral Health, Blue Cross, CIGNA, Magellan, United Behavioral Health Care, HMO Blue, US Health Care, BMC Health Net / WellSense (MassHealth), Aetna, CHAMPUS, Tufts Health Plan, FallonHealth (MassHealth), Always Health Partners (MassHealth), Affordable 1st Health, Neighborhood Health Plan"
Emerson House CSS,clinical stabilization services,0,800-554-1554,https://gosnold.org/,"558 W. Falmouth Highway, Falmouth, MA 02574",18,9999,All,Y,Y,Y,Y,Y,"Sliding Scale, Free Services / Health Safety Net, HMO, Private Insurance"
Women's Addiction Treatment Center CSS,clinical stabilization services,0,774-213-8400,https://www.detox.com/listings/high-point-treatment-centertss-womens-addiction-treatment-center/,"108 North Front Street New Bedford, MA 02740",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, Blue Cross - MA, Harvard Pilgrim, BeHealthy Partnership, Berkshire Fallon Health Collaborative, Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA"
Lynn TSS,transitional support services,0,781-593-9434,www.nebhealth.org,"110 Green St, Lynn, MA 01901",18,9999,male,Y,N,N,Y,N,DPH Funded
Transitions TSS,transitional support services,0,617-534-9171,https://www.rehab.com/transitions-tss,"201 River St, Mattapan, MA 02126",18,9999,male,Y,N,N,Y,N,All insurance
High Point Treatment Center TSS,transitional support services,0,774-213-8477,www.hptc.org,"44 Kilburn St, New Bedford, MA 02740",18,9999,male,Y,N,N,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Children's Medical Security Plan, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance, Mass General Brigham Health Plan with Mass General"
Tewksbury TSS,transitional support services,0,978-968-1700,https://hub.helplinema.org/provider_details/15428,"365 East Street Nichols Building, Tewksbury, MA 01876",18,9999,male,Y,N,N,N,N,All insurance
Washburn House,clinical stabilization services,0,844-657-7375,https://www.washburnhouse.com/,"1183 Main Street, Worcester, MA 01603",18,9999,All,Y,Y,Y,Y,N,"Medicaid, Medicare, most private insurance"
Answer House,residental rehabilitation,0,781-894-6110,www.mhsainc.org,"5 G St South Boston, MA 02127",18,9999,male,Y,N,N,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), Tufts Health Together (MCO), Tufts Health Together With CHA, Other"
"Ashby Behavioral Health, LLC (Spring Hill Recovery)",residental rehabilitation,0,888-603-2860,https://springhillrecovery.com/,"250 Spring Hill Rd, Ashby, MA 01431",18,9999,male,Y,?,N,Y,N,All insurance
Bay Cove,outpatient rehab,0,617-371-3000,www.baycovehumanservices.org/,"66 Canal St, Boston, MA 02114 ////// (but note that there are multiple locations)",18,9999,All,?,?,?,Y,N,MassHealth FFS
Boston Hamilton House,residental rehabilitation,0,857-309-7371,www.gavinfoundation.org,"25 Mt. Ida Road, Dorchester MA 02122",18,9999,male,Y,?,N,Y,Y,"MBHP (PCC Plan), Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, HSN - Health Safety Net, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
CASPAR House I,residental rehabilitation,16,617-623-5277,https://www.baycovehumanservices.org/caspar,"16 Highland Ave, Somerville, MA 02143",18,9999,male,Y,?,N,Y,N,MassHealth FFS
CASPAR House II,residental rehabilitation,3,617-623-5277,https://www.baycovehumanservices.org/caspar,"3 Summit Ave, Somerville, MA 02143",18,9999,male,Y,?,N,Y,N,MassHealth FFS
Casa Esperanza (Latinas y Ninos),residental rehabilitation,5,617-445-1123,https://www.casaesperanza.org/,"291 Eustis St, Boston, MA 02119",18,9999,female,Y,?,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Tufts, OneCare, HSN - Health Safety Net, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3), Tufts Health Together (MCO)"
Charlestown Recovery House (Gavin),residental rehabilitation,0,617-286-7368,https://www.gavinfoundation.org/programs/charlestown-recovery-house,"15 Bunker Hill St, Boston, MA 02129",18,9999,male,Y,?,N,N,Y,"MBHP (PCC Plan), Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Fallon Community Health Plan/Commercial, HSN - Health Safety Net, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
Eastern Middlesex Alcoholism Services,residental rehabilitation,2,781-321-2600,https://massachusetts.networkofcare.org/mh/services/agency.aspx?pid=easternmiddlesexalcoholismservicesrecoveryhome_2_1632_0,"12 Cedar St, Malden, MA 02148",18,9999,All,Y,?,N,N,N,"MBHP (PCC Plan), Tufts, WellSense - MassHealth Essential (MCO), Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA"
Eileen's House,residental rehabilitation,7,617-269-2933,www.gavinfoundation.org/eileenshouse,"2200 Dorchester Ave. Dorchester, MA 02127",18,9999,female,N,N,Y,N,N,"MBHP (PCC Plan), Medicare/Medicaid, Tufts, United Behavioral Health, WellSense - MassHealth Essential (MCO)"
Gavin House,residental rehabilitation,0,617-268-5517,www.gavinfoundation.org,"675 East Fourth Street South Boston, MA 02127",18,9999,male,N,N,N,N,Y,"MBHP (PCC Plan), Blue Cross - MA, Harvard Pilgrim, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
Granada House,residental rehabilitation,0,617-254-2923 x5,www.granadahouse.org/,"70 Adamson St., Allston MA 02134",18,9999,All,Y,?,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, WellSense - MassHealth Community Alliance, Tufts Health Together (MCO)"
